epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,920.755,0.89284,2.28161,1.2867,0.75586,0.05586,0.31625,0.2386,0.8586,2.70019,1.19751,0.00042,0.00042,0.00042
2,1702.6,0.92001,1.72697,1.29872,0.45552,0.34923,0.34756,0.22935,1.16859,2.41756,1.51199,0.000851486,0.000851486,0.000851486
3,2388.65,1.06227,1.77711,1.36253,0.41383,0.31186,0.26542,0.15104,1.42447,2.53976,1.75687,0.00127426,0.00127426,0.00127426
4,3064.33,0.9994,1.60775,1.3634,0.36506,0.35309,0.29063,0.16099,1.46057,2.44821,1.79316,0.00168832,0.00168832,0.00168832
5,3727.24,1.00506,1.63292,1.36068,0.27661,0.33119,0.19046,0.08444,1.65072,2.72738,1.99408,0.0019208,0.0019208,0.0019208
6,4352.62,1.03203,1.59396,1.39324,0.11211,0.1817,0.07782,0.0331,2.17779,3.03557,2.37733,0.001901,0.001901,0.001901
7,4870.81,0.99219,1.54158,1.36398,0.18124,0.28608,0.14666,0.05519,1.98923,3.62267,2.20609,0.0018812,0.0018812,0.0018812
8,6443.62,1.03669,1.53949,1.381,0.46843,0.45747,0.3961,0.25088,1.26537,2.39979,1.63123,0.0018614,0.0018614,0.0018614
9,6716.16,1.00982,1.506,1.35531,0.47107,0.48711,0.44424,0.27831,1.22206,1.91584,1.50728,0.0018416,0.0018416,0.0018416
10,6990.46,0.9756,1.48256,1.37895,0.38794,0.45619,0.37272,0.22859,1.38567,2.07601,1.6415,0.0018218,0.0018218,0.0018218
11,7257.31,0.95345,1.47102,1.32934,0.44119,0.46088,0.4126,0.26727,1.20623,2.02436,1.49891,0.001802,0.001802,0.001802
12,7531.2,0.98321,1.42212,1.36009,0.42213,0.46134,0.41009,0.23224,1.33988,2.00837,1.58577,0.0017822,0.0017822,0.0017822
13,7811.46,0.96674,1.39308,1.33875,0.4233,0.41237,0.35436,0.22567,1.30749,2.45253,1.56467,0.0017624,0.0017624,0.0017624
14,8085.65,0.95166,1.35724,1.34759,0.53669,0.51675,0.5018,0.34611,1.13632,1.89221,1.45454,0.0017426,0.0017426,0.0017426
15,8361.73,0.9471,1.3197,1.32633,0.73164,0.57088,0.66278,0.47875,1.00411,1.38128,1.32894,0.0017228,0.0017228,0.0017228
16,8638.3,0.92447,1.27238,1.29623,0.63112,0.51804,0.56725,0.41333,0.994,1.66938,1.30703,0.001703,0.001703,0.001703
17,8902.39,0.89677,1.24726,1.30593,0.64943,0.55155,0.61331,0.43884,1.06986,1.49791,1.35484,0.0016832,0.0016832,0.0016832
18,9163.88,0.89993,1.24746,1.26549,0.65409,0.56186,0.62985,0.46023,1.01024,1.39521,1.31191,0.0016634,0.0016634,0.0016634
19,9436.77,0.86808,1.16365,1.23994,0.65955,0.53425,0.61535,0.45759,1.01878,1.42124,1.343,0.0016436,0.0016436,0.0016436
20,9694.35,0.86385,1.18946,1.26092,0.50545,0.55412,0.52613,0.3909,1.02609,1.63505,1.35532,0.0016238,0.0016238,0.0016238
21,9959.86,0.85797,1.16308,1.25086,0.64434,0.62371,0.65395,0.4893,0.95531,1.37549,1.28022,0.001604,0.001604,0.001604
22,10212.3,0.85023,1.13415,1.23907,0.72612,0.64175,0.70013,0.53917,0.89999,1.20954,1.22454,0.0015842,0.0015842,0.0015842
23,10486,0.87554,1.18827,1.27709,0.69386,0.6221,0.68743,0.52243,0.90034,1.39192,1.24522,0.0015644,0.0015644,0.0015644
24,10765.6,0.8699,1.15691,1.23649,0.76846,0.6366,0.7454,0.54972,0.92952,1.21076,1.23705,0.0015446,0.0015446,0.0015446
25,11042.5,0.83992,1.08047,1.23433,0.77265,0.68759,0.77874,0.60581,0.83496,1.02705,1.17109,0.0015248,0.0015248,0.0015248
26,11373.7,0.81372,1.04223,1.2197,0.66176,0.64544,0.68423,0.49223,0.9455,1.53278,1.25926,0.001505,0.001505,0.001505
27,11760.3,0.81561,1.03533,1.21263,0.59983,0.61727,0.64415,0.49139,0.89116,1.39089,1.20392,0.0014852,0.0014852,0.0014852
28,12037.5,0.76814,1.02461,1.19815,0.60151,0.51742,0.55585,0.40858,0.94093,1.59505,1.24425,0.0014654,0.0014654,0.0014654
29,12309,0.7862,1.02373,1.19121,0.84335,0.68685,0.81811,0.64567,0.77655,0.94379,1.11563,0.0014456,0.0014456,0.0014456
30,12828.3,0.81264,0.99151,1.22391,0.77685,0.70747,0.8034,0.62614,0.82521,1.02455,1.14249,0.0014258,0.0014258,0.0014258
31,13093,0.77095,0.96245,1.16229,0.80722,0.72294,0.80969,0.64514,0.76605,0.94042,1.1106,0.001406,0.001406,0.001406
32,13359.7,0.78667,0.97925,1.17624,0.82521,0.71263,0.82389,0.65429,0.78523,0.93391,1.14352,0.0013862,0.0013862,0.0013862
33,13628.8,0.74375,0.91881,1.17204,0.76151,0.73325,0.80175,0.63419,0.77112,0.92953,1.12471,0.0013664,0.0013664,0.0013664
34,13905,0.77526,0.93243,1.19646,0.71936,0.6817,0.74694,0.58089,0.80559,1.06009,1.14895,0.0013466,0.0013466,0.0013466
35,14181.8,0.76231,0.91714,1.18977,0.65374,0.57732,0.64697,0.47376,0.92644,1.38859,1.23553,0.0013268,0.0013268,0.0013268
36,14459.3,0.745,0.91388,1.15436,0.84586,0.70717,0.83462,0.67542,0.74028,0.8514,1.0858,0.001307,0.001307,0.001307
37,14734.9,0.70911,0.87088,1.14581,0.82248,0.72938,0.83241,0.68414,0.70141,0.82357,1.04817,0.0012872,0.0012872,0.0012872
38,15007.2,0.74763,0.88911,1.14622,0.87611,0.76546,0.86906,0.70899,0.70511,0.7803,1.0464,0.0012674,0.0012674,0.0012674
